City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
332,Tenango,MX,18.65,-98.1833,95.27,14,9,7.81,clear sky
333,Malanje,AO,-9.5402,16.341,63.46,50,0,2.46,clear sky
334,Yar-Sale,RU,66.8333,70.8333,46.58,58,98,16.96,overcast clouds
335,Sovetskiy,RU,61.3614,63.5842,52.7,97,100,0.92,moderate rain
336,Petropavlivka,UA,48.4564,36.4367,51.66,96,63,10.02,broken clouds
337,Ostuacan,MX,17.4167,-93.3,90.73,45,100,6.76,overcast clouds
338,Thunder Bay,CA,48.4001,-89.3168,57.18,72,100,8.05,overcast clouds
339,Salalah,OM,17.0151,54.0924,84.29,79,75,9.22,broken clouds
340,Meulaboh,ID,4.1363,96.1285,77.74,86,100,5.44,overcast clouds
341,Kali Vrisi,GR,41.15,23.9,66.4,82,35,3.98,scattered clouds
342,Tazovskiy,RU,67.4667,78.7,36.14,70,61,8.41,broken clouds
343,North Bend,US,43.4065,-124.2243,72.25,94,100,8.05,overcast clouds
344,Mandali,IQ,33.7499,45.5541,78.82,13,0,8.14,clear sky
