City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
520,Ranong,TH,80.08,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
522,Miranda,CO,84.65,broken clouds,3.2499,-76.2281,unidiversidad organica la utopia
524,Great Falls,US,68.68,clear sky,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
525,Inhambane,MZ,70.32,clear sky,-23.865,35.3833,Oceano
526,Bardiyah,LY,73.45,clear sky,31.7561,25.0865,بورتو بردية
528,Galle,LK,79.63,overcast clouds,6.0367,80.217,Amangalla
535,Malpe,IN,83.5,broken clouds,13.35,74.7167,Hotel Sri Krishna Residency
536,Oga,IT,57.88,broken clouds,46.4631,10.347,QC Terme Bagni di Bormio Bagni Nuovi
537,Leninskoye,KZ,65.62,overcast clouds,41.7589,69.3864,Leonid Rakhmanov
539,Port Hedland,AU,71.65,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
540,Shimanovsk,RU,59.5,clear sky,52.0,127.7,Гостиница Домашняя
545,Yangjiang,CN,77.65,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
546,Chimbote,PE,66.51,broken clouds,-9.0853,-78.5783,Hotel Briliá
547,Grand Forks,US,68.79,few clouds,47.9417,-97.4337,Warrior Inn
